id,Open,High,Close
0,15.300999999999998,15.455000000000002,15.34
1,15.236,15.408000000000001,15.391
2,15.288,15.384,15.225
3,15.171000000000001,15.357,15.287
4,14.959,15.083000000000002,15.063999999999998
5,14.767,15.004,14.98
6,15.126,15.24,15.025
7,15.015,15.118,15.068000000000001
8,14.816999999999998,14.919999999999998,14.844
9,15.477,15.559000000000001,14.959999999999999
10,15.408000000000001,15.472999999999999,15.471
11,15.327000000000002,15.375,15.312000000000001
12,15.341,15.452000000000002,15.281
13,15.363999999999999,15.471,15.363
14,15.184999999999999,15.363,15.361
15,15.175,15.229,15.153
16,15.27,15.334999999999999,15.146
17,15.197,15.290000000000001,15.238
18,15.222999999999999,15.225,15.213
19,15.030000000000001,15.259,15.196000000000002
20,14.850999999999999,15.023,15.004
21,14.852,14.881,14.806999999999999
22,14.808000000000002,14.859,14.824000000000002
23,14.844,14.938999999999998,14.806000000000001
24,14.472,14.815000000000001,14.766
25,14.8,14.866999999999999,14.485
26,15.011000000000001,15.021,14.978
27,15.017,15.148,15.019
28,15.040000000000001,15.046000000000001,15.033000000000001
29,15.031,15.065000000000001,15.004
30,15.023,15.052000000000001,15.029
31,15.149000000000001,15.259,15.047999999999998
32,15.071000000000002,15.108,15.106
33,15.145,15.163,15.024000000000001
34,15.017,15.152000000000001,15.084999999999999
35,15.36,15.36,15.180000000000001
36,15.334,15.344,15.278
37,15.174000000000001,15.257,15.246
38,14.95,15.153,15.025
39,14.666999999999998,14.775,14.77
40,14.709,14.759,14.656
41,14.578999999999999,14.715,14.649000000000001
42,14.496,14.566999999999998,14.547
43,14.39,14.416999999999998,14.368
44,14.294999999999998,14.425,14.38
45,14.135,14.303999999999998,14.227
46,14.127,14.190000000000001,14.096
47,13.975999999999999,14.155000000000001,14.142
48,13.962,14.058000000000002,13.938999999999998
49,13.972,14.040000000000001,13.958000000000002
50,14.080000000000002,14.103,13.991999999999999
51,14.1,14.143,14.104
52,14.12,14.155000000000001,14.078
53,14.211000000000002,14.222,14.116999999999999
54,14.225999999999999,14.344,14.184999999999999
55,14.186000000000002,14.209,14.172999999999998
56,14.193000000000001,14.247,14.228
57,14.231,14.263,14.205000000000002
58,14.24,14.294999999999998,14.241
59,14.199000000000002,14.286000000000001,14.265
60,14.036000000000001,14.194999999999999,14.175999999999998
61,13.905000000000001,14.065000000000001,14.032
62,14.008000000000001,14.102,14.034
63,13.947999999999999,14.038999999999998,13.953
64,13.793000000000001,13.979,13.959
65,14.115,14.231,13.850999999999999
66,13.971,14.019,13.994
67,14.034,14.034,13.984
68,14.02,14.025,13.999
69,13.928999999999998,14.01,13.972
70,13.946000000000002,13.946000000000002,13.931999999999999
71,13.871,13.968,13.959999999999999
72,13.891,13.949000000000002,13.879
73,13.772,13.857,13.824000000000002
74,13.715,13.799000000000001,13.772
75,13.703,13.837,13.73
76,13.687999999999999,13.783000000000001,13.741999999999999
77,13.663,13.733,13.716999999999999
78,13.709,13.782,13.675999999999998
79,13.647,13.748,13.741999999999999
80,13.678999999999998,13.680000000000001,13.553999999999998
81,13.526,13.718,13.641
82,13.416,13.562000000000001,13.544
83,13.588999999999999,13.612,13.536000000000001
84,13.36,13.678999999999998,13.612
85,13.35,13.391,13.372
86,13.35,13.409,13.353
87,13.306999999999999,13.387,13.384
88,13.344999999999999,13.37,13.344
89,13.41,13.422999999999998,13.385
90,13.469999999999999,13.469999999999999,13.405000000000001
91,13.41,13.494,13.419
92,13.449000000000002,13.45,13.413999999999998
93,13.26,13.443999999999999,13.419999999999998
94,13.224,13.3,13.184000000000001
95,13.097999999999999,13.206,13.206
96,13.124,13.285,13.097999999999999
97,13.322,13.549000000000001,13.084
98,13.225,13.349,13.322999999999999
99,13.017,13.065999999999999,13.032
100,13.158000000000001,13.158000000000001,13.097999999999999
101,13.268,13.294999999999998,13.218
102,13.163,13.313999999999998,13.278
103,13.0,13.174000000000001,13.148
104,12.937999999999999,12.99,12.937000000000001
105,12.731,12.925,12.893
106,12.809999999999999,12.847999999999999,12.704
107,12.822999999999999,12.834999999999999,12.754999999999999
108,12.841,12.843,12.792
109,12.803999999999998,12.834,12.787
110,12.748999999999999,12.927000000000001,12.834
111,12.561,12.673,12.662
112,12.434999999999999,12.612,12.609
113,12.482,12.55,12.434999999999999
114,12.355,12.543000000000001,12.49
115,12.098,12.388,12.341
116,11.886,12.095,12.067
117,11.754999999999999,11.966,11.869
118,11.603,11.784,11.686
119,11.66,11.683,11.504999999999999
120,11.7,11.753,11.635
121,11.818999999999999,11.825,11.692
122,11.696,11.868,11.801
123,11.7,11.756,11.727
124,11.886,11.899,11.74
125,11.892,11.92,11.904
126,11.95,11.977,11.909
127,11.985,12.036,11.924
128,12.09,12.15,11.987
129,12.008,12.25,12.056999999999999
130,12.0,12.169,12.020999999999999
131,11.786,12.152,12.031
132,11.922,11.924,11.777
133,11.922,11.994,11.968
134,11.798,11.95,11.891
135,11.7,11.795,11.795
136,11.769,11.78,11.731
137,11.595,11.757,11.743
138,11.511,11.648,11.540000000000001
139,11.838,11.845,11.51
140,12.032,12.179,11.842
141,12.056999999999999,12.209999999999999,12.087
142,12.012,12.169,12.041
143,12.101,12.114,12.038
144,12.123000000000001,12.131,12.084
145,12.24,12.298,12.147
146,11.82,12.195,12.177
147,11.839,11.913,11.702
148,11.681000000000001,11.779,11.779
149,11.448,11.788,11.634
150,11.673,11.849,11.72
151,11.913,11.913,11.508
152,11.953,12.07,11.902
153,12.393,12.418000000000001,12.08
154,12.15,12.381,12.318000000000001
155,12.203,12.461,12.422
